,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
426,488.0,253.53846153846155,480.0,261.46153846153845,640.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
427,488.0,253.53846153846155,480.0,261.46153846153845,640.0,388.2307692307692,480.0,435.7692307692308,560.0,586.3076923076923
428,488.0,253.53846153846155,480.0,261.46153846153845,640.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
429,488.0,253.53846153846155,480.0,261.46153846153845,640.0,388.2307692307692,480.0,435.7692307692308,560.0,586.3076923076923
430,480.0,261.46153846153845,472.0,269.38461538461536,632.0,396.15384615384613,480.0,435.7692307692308,560.0,594.2307692307693
431,480.0,261.46153846153845,480.0,269.38461538461536,640.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
432,480.0,261.46153846153845,472.0,269.38461538461536,648.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
433,480.0,261.46153846153845,472.0,269.38461538461536,656.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
434,472.0,269.38461538461536,472.0,269.38461538461536,648.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
435,496.0,174.30769230769232,512.0,166.3846153846154,656.0,316.9230769230769,528.0,419.9230769230769,568.0,586.3076923076923
436,496.0,174.30769230769232,512.0,166.3846153846154,664.0,324.84615384615387,536.0,419.9230769230769,568.0,586.3076923076923
437,488.0,174.30769230769232,512.0,166.3846153846154,656.0,309.0,536.0,427.84615384615387,568.0,594.2307692307693
438,488.0,174.30769230769232,512.0,166.3846153846154,664.0,316.9230769230769,536.0,427.84615384615387,568.0,594.2307692307693
439,488.0,174.30769230769232,512.0,166.3846153846154,656.0,316.9230769230769,536.0,427.84615384615387,568.0,594.2307692307693
440,488.0,174.30769230769232,512.0,166.3846153846154,656.0,316.9230769230769,536.0,427.84615384615387,568.0,594.2307692307693
441,488.0,174.30769230769232,504.0,166.3846153846154,656.0,316.9230769230769,528.0,427.84615384615387,568.0,594.2307692307693
442,488.0,174.30769230769232,504.0,166.3846153846154,648.0,324.84615384615387,528.0,427.84615384615387,568.0,594.2307692307693
443,488.0,174.30769230769232,504.0,166.3846153846154,656.0,324.84615384615387,528.0,427.84615384615387,568.0,594.2307692307693
444,488.0,174.30769230769232,504.0,166.3846153846154,656.0,316.9230769230769,528.0,419.9230769230769,568.0,594.2307692307693
445,496.0,245.6153846153846,520.0,237.69230769230768,648.0,412.0,520.0,443.6923076923077,584.0,625.9230769230769
446,488.0,237.69230769230768,472.0,245.6153846153846,640.0,396.15384615384613,512.0,427.84615384615387,560.0,602.1538461538462
447,488.0,237.69230769230768,480.0,237.69230769230768,648.0,404.0769230769231,512.0,427.84615384615387,560.0,602.1538461538462
448,488.0,237.69230769230768,480.0,237.69230769230768,648.0,404.0769230769231,512.0,427.84615384615387,560.0,602.1538461538462
449,488.0,237.69230769230768,480.0,237.69230769230768,640.0,404.0769230769231,512.0,427.84615384615387,560.0,602.1538461538462
450,488.0,237.69230769230768,480.0,237.69230769230768,640.0,404.0769230769231,512.0,427.84615384615387,560.0,594.2307692307693
451,488.0,237.69230769230768,480.0,237.69230769230768,648.0,404.0769230769231,512.0,427.84615384615387,560.0,602.1538461538462
452,488.0,237.69230769230768,480.0,237.69230769230768,648.0,404.0769230769231,512.0,427.84615384615387,560.0,602.1538461538462
453,480.0,237.69230769230768,480.0,237.69230769230768,640.0,396.15384615384613,512.0,427.84615384615387,560.0,602.1538461538462
454,480.0,237.69230769230768,480.0,237.69230769230768,648.0,396.15384615384613,512.0,427.84615384615387,560.0,602.1538461538462
455,480.0,237.69230769230768,480.0,237.69230769230768,648.0,388.2307692307692,520.0,427.84615384615387,560.0,602.1538461538462
456,456.0,213.92307692307693,472.0,206.0,640.0,348.61538461538464,528.0,427.84615384615387,568.0,610.0769230769231
457,464.0,206.0,480.0,206.0,648.0,348.61538461538464,528.0,427.84615384615387,568.0,618.0
458,464.0,213.92307692307693,480.0,206.0,648.0,348.61538461538464,528.0,427.84615384615387,568.0,610.0769230769231
459,464.0,206.0,480.0,206.0,648.0,340.6923076923077,528.0,419.9230769230769,568.0,610.0769230769231
460,464.0,206.0,480.0,198.07692307692307,664.0,356.53846153846155,528.0,419.9230769230769,568.0,610.0769230769231
461,464.0,206.0,488.0,198.07692307692307,656.0,348.61538461538464,528.0,419.9230769230769,568.0,610.0769230769231
462,472.0,206.0,488.0,198.07692307692307,656.0,348.61538461538464,528.0,419.9230769230769,568.0,618.0
463,472.0,206.0,488.0,198.07692307692307,656.0,348.61538461538464,528.0,419.9230769230769,568.0,610.0769230769231
464,472.0,206.0,488.0,198.07692307692307,648.0,348.61538461538464,528.0,419.9230769230769,568.0,610.0769230769231
465,464.0,198.07692307692307,488.0,190.15384615384616,648.0,348.61538461538464,528.0,419.9230769230769,568.0,610.0769230769231
466,488.0,158.46153846153845,488.0,166.3846153846154,640.0,324.84615384615387,536.0,427.84615384615387,584.0,649.6923076923077
467,488.0,158.46153846153845,488.0,166.3846153846154,648.0,316.9230769230769,536.0,427.84615384615387,584.0,641.7692307692307
468,480.0,158.46153846153845,480.0,166.3846153846154,656.0,324.84615384615387,536.0,427.84615384615387,584.0,649.6923076923077
469,480.0,158.46153846153845,480.0,166.3846153846154,648.0,324.84615384615387,544.0,427.84615384615387,584.0,649.6923076923077
470,488.0,158.46153846153845,480.0,166.3846153846154,648.0,324.84615384615387,536.0,435.7692307692308,584.0,649.6923076923077
471,488.0,158.46153846153845,488.0,166.3846153846154,640.0,324.84615384615387,528.0,435.7692307692308,504.0,530.8461538461538
472,488.0,158.46153846153845,488.0,166.3846153846154,640.0,332.7692307692308,520.0,427.84615384615387,584.0,649.6923076923077
473,488.0,166.3846153846154,488.0,174.30769230769232,632.0,356.53846153846155,512.0,435.7692307692308,584.0,649.6923076923077
474,488.0,174.30769230769232,488.0,182.23076923076923,600.0,372.38461538461536,504.0,435.7692307692308,584.0,649.6923076923077
475,488.0,182.23076923076923,488.0,182.23076923076923,632.0,356.53846153846155,504.0,435.7692307692308,584.0,649.6923076923077
476,496.0,213.92307692307693,496.0,213.92307692307693,640.0,396.15384615384613,528.0,435.7692307692308,592.0,649.6923076923077
477,496.0,206.0,504.0,206.0,640.0,396.15384615384613,528.0,435.7692307692308,592.0,649.6923076923077
