,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
474,440,301.0769231,424,309,608,483.3076923,464,475.3846154,504,657.6153846
475,456,277.3076923,440,277.3076923,536,443.6923077,456,475.3846154,488,649.6923077
476,456,269.3846154,440,277.3076923,592,459.5384615,456,475.3846154,488,649.6923077
477,448,269.3846154,448,269.3846154,592,451.6153846,464,475.3846154,488,649.6923077
478,456,277.3076923,440,277.3076923,536,443.6923077,456,475.3846154,488,649.6923077
479,456,285.2307692,456,285.2307692,592,475.3846154,448,475.3846154,488,649.6923077
480,456,285.2307692,440,285.2307692,592,475.3846154,448,475.3846154,488,649.6923077
481,456,277.3076923,440,277.3076923,592,475.3846154,456,475.3846154,488,649.6923077
482,456,293.1538462,440,293.1538462,584,475.3846154,448,475.3846154,488,649.6923077
483,456,293.1538462,448,293.1538462,592,491.2307692,448,475.3846154,488,649.6923077
484,448,301.0769231,424,301.0769231,592,491.2307692,448,475.3846154,480,649.6923077
485,448,301.0769231,432,301.0769231,592,491.2307692,448,475.3846154,480,649.6923077
486,456,301.0769231,440,301.0769231,592,491.2307692,448,475.3846154,488,649.6923077
487,448,301.0769231,424,309,592,499.1538462,448,475.3846154,480,649.6923077
488,448,301.0769231,424,301.0769231,592,491.2307692,440,475.3846154,480,649.6923077
489,448,301.0769231,432,301.0769231,584,491.2307692,440,475.3846154,480,649.6923077
490,448,301.0769231,432,309,592,499.1538462,440,475.3846154,480,649.6923077
491,440,293.1538462,416,301.0769231,592,491.2307692,440,475.3846154,480,649.6923077
492,448,285.2307692,424,293.1538462,584,483.3076923,440,475.3846154,480,649.6923077
493,440,277.3076923,416,285.2307692,584,475.3846154,440,475.3846154,488,649.6923077
494,440,285.2307692,416,293.1538462,584,483.3076923,448,475.3846154,488,649.6923077
495,432,277.3076923,416,285.2307692,584,475.3846154,448,475.3846154,488,649.6923077
496,448,269.3846154,424,277.3076923,584,467.4615385,440,475.3846154,480,649.6923077
497,440,293.1538462,424,293.1538462,584,483.3076923,448,475.3846154,488,649.6923077
498,448,301.0769231,432,301.0769231,592,491.2307692,448,475.3846154,480,649.6923077
499,456,301.0769231,440,301.0769231,592,491.2307692,448,475.3846154,488,649.6923077
500,448,301.0769231,424,309,592,499.1538462,448,475.3846154,480,649.6923077
501,448,301.0769231,424,301.0769231,592,491.2307692,440,475.3846154,480,649.6923077
502,448,301.0769231,432,301.0769231,584,491.2307692,440,475.3846154,480,649.6923077
503,448,301.0769231,432,309,592,499.1538462,440,475.3846154,480,649.6923077
